"항목코드","분류","항목","판단기준","결과","점검내용","진단대상","진단대상IP","중요도","점검파일"
"U-11","계정 관리","사용자 Shell 점검","양호 : 로그인이 필요하지 않은 계정에 /bin/false(/sbin/nologin) 쉘이 부여된 경우 | 취약 : 로그인이 필요하지 않은 계정에 /bin/false(/sbin/nologin) 쉘이 부여되지 않은 경우","양호","# 로그인 셸 부여된 불필요(시스템) 계정: 없음 | # 전체 계정:셸 목록 | root: /bin/bash | bin: /sbin/nologin | daemon: /sbin/nologin | adm: /sbin/nologin | sync: /sbin/nologin | shutdown: /sbin/nologin | halt: /sbin/nologin | mail: /sbin/nologin | operator: /sbin/nologin | nobody: /sbin/nologin | dbus: /sbin/nologin | systemd-network: /usr/sbin/nologin | systemd-oom: /usr/sbin/nologin | systemd-resolve: /usr/sbin/nologin | rpc: /sbin/nologin | libstoragemgmt: /usr/sbin/nologin | systemd-coredump: /usr/sbin/nologin | systemd-timesync: /usr/sbin/nologin | sshd: /sbin/nologin | chrony: /sbin/nologin | ec2-instance-connect: /sbin/nologin | stapunpriv: /sbin/nologin | rpcuser: /sbin/nologin | tcpdump: /sbin/nologin | ec2-user: /bin/bash","Linux(amzn)","10.0.9.57","하","/etc/passwd"
"U-12","계정 관리","세션 종료 시간 설정","양호 : Session Timeout이 600초(10분) 이하로 설정된 경우 | 취약 : Session Timeout이 600초(10분) 이하로 설정되지 않은 경우","양호","/etc/profile:TMOUT=600","Linux(amzn)","10.0.9.57","하","/etc/profile | /etc/profile.d | /etc/bashrc"
"U-13","계정 관리","안전한 비밀번호 암호화 알고리즘 사용","양호 : SHA-2 이상의 안전한 비밀번호 암호화 알고리즘을 사용하는 경우 | 취약 : 취약한 비밀번호 암호화 알고리즘을 사용하는 경우","양호","# /etc/login.defs | ENCRYPT_METHOD YESCRYPT | # /etc/pam.d (pam_unix 해시 옵션) | /etc/pam.d/password-auth:password sufficient pam_unix.so try_first_pass use_authtok nullok sha512 shadow | /etc/pam.d/system-auth:password sufficient pam_unix.so try_first_pass use_authtok nullok sha512 shadow","Linux(amzn)","10.0.9.57","중","/etc/login.defs | /etc/pam.d"
"U-14","파일 및 디렉토리 관리","root 홈, 패스 디렉터리 권한 및 패스 설정","양호 : PATH 환경변수에 “.” 이 맨 앞이나 중간에 포함되지 않은 경우 | 취약 : PATH 환경변수에 “.” 이 맨 앞이나 중간에 포함된 경우","양호","root 로그인 PATH = /root/.local/bin:/root/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin","Linux(amzn)","10.0.9.57","상","root 로그인 PATH (runuser -l root)"
"U-15","파일 및 디렉토리 관리","파일 및 디렉터리 소유자 설정","양호 : 소유자가 존재하지 않는 파일 및 디렉터리가 존재하지 않는 경우 | 취약 : 소유자가 존재하지 않는 파일 및 디렉터리가 존재하는 경우","양호","소유자/그룹 없는 파일(표본): 없음","Linux(amzn)","10.0.9.57","상","/ (xdev)"
"U-16","파일 및 디렉토리 관리","/etc/passwd 파일 소유자 및 권한 설정","양호 : /etc/passwd 파일의 소유자가 root이고, 권한이 644 이하인 경우 | 취약 : /etc/passwd 파일의 소유자가 root가 아니거나, 권한이 644 이하가 아닌 경우","양호","-rw-r--r-- (644) root:root  /etc/passwd","Linux(amzn)","10.0.9.57","상","/etc/passwd"
"U-17","파일 및 디렉토리 관리","시스템 시작 스크립트 권한 설정","양호 : 시스템 시작 스크립트 파일의 소유자가 root이고, 일반 사용자의 쓰기 권한이 제거된 경우 | 취약 : 시스템 시작 스크립트 파일의 소유자가 root가 아니거나, 일반 사용자의 쓰기 권한이 부여된 경우","양호","-rw-r--r-- (644) root:root  /etc/rc.d/init.d/README | -rw-r--r-- (644) root:root  /etc/rc.d/init.d/functions | -rw-r--r-- (644) root:root  /etc/init.d/README | -rw-r--r-- (644) root:root  /etc/init.d/functions","Linux(amzn)","10.0.9.57","상","/etc/rc.d/init.d | /etc/init.d | /etc/rc.local"
"U-18","파일 및 디렉토리 관리","/etc/shadow 파일 소유자 및 권한 설정","양호 : /etc/shadow 파일의 소유자가 root이고, 권한이 400 이하인 경우 | 취약 : /etc/shadow 파일의 소유자가 root가 아니거나, 권한이 400 이하가 아닌 경우","양호","---------- (0) root:root  /etc/shadow","Linux(amzn)","10.0.9.57","상","/etc/shadow"
"U-19","파일 및 디렉토리 관리","/etc/hosts 파일 소유자 및 권한 설정","양호 : /etc/hosts 파일의 소유자가 root이고, 권한이 644 이하인 경우 | 취약 : /etc/hosts 파일의 소유자가 root가 아니거나, 권한이 644 이하가 아닌 경우","양호","-rw-r--r-- (644) root:root  /etc/hosts","Linux(amzn)","10.0.9.57","상","/etc/hosts"
"U-20","파일 및 디렉토리 관리","/etc/(x)inetd.conf 파일 소유자 및 권한 설정","양호 : /etc/(x)inetd.conf 파일의 소유자가 root이고, 권한이 600 이하인 경우 | 취약 : /etc/(x)inetd.conf 파일의 소유자가 root가 아니거나, 권한이 600 이하가 아닌 경우","N/A","(inetd/xinetd 미설치) | systemd 활성 socket 유닛: acpid.socket dbus.socket rpcbind.socket sssd-kcm.socket systemd-coredump.socket systemd-initctl.socket systemd-journald-audit.socket systemd-journald-dev-log.socket systemd-journald.socket systemd-networkd.socket systemd-udevd-control.socket systemd-udevd-kernel.socket systemd-userdbd.socket","Linux(amzn)","10.0.9.57","상","/etc/inetd.conf | systemd .socket 유닛"
"U-21","파일 및 디렉토리 관리","/etc/(r)syslog.conf 파일 소유자 및 권한 설정","양호 : /etc/(r)syslog.conf 파일의 소유자가 root(또는 bin, sys)이고, 권한이 640 이하인 경우 | 취약 : /etc/(r)syslog.conf 파일의 소유자가 root(또는 bin, sys)가 아니거나, 권한이 640 이하가 아닌 경우","양호","-rw-r----- (640) root:root  /etc/rsyslog.conf","Linux(amzn)","10.0.9.57","상","/etc/rsyslog.conf"
"U-22","파일 및 디렉토리 관리","/etc/services 파일 소유자 및 권한 설정","양호 : /etc/services 파일의 소유자가 root(또는 bin, sys)이고, 권한이 644 이하인 경우 | 취약 : /etc/services 파일의 소유자가 root(또는 bin, sys)가 아니거나, 권한이 644 이하가 아닌 경우","양호","-rw-r--r-- (644) root:root  /etc/services","Linux(amzn)","10.0.9.57","상","/etc/services"
"U-23","파일 및 디렉토리 관리","SUID,SGID,Sticky bit 설정 파일 점검","양호 : 주요 실행 파일의 권한에 SUID와 SGID에 대한 설정이 부여되어 있지 않은 경우 | 취약 : 주요 실행 파일의 권한에 SUID와 SGID에 대한 설정이 부여된 경우","N/A","# SUID (find / -type f -perm -4000) — 13개 | ---s--x--x (4111) root:root  /usr/bin/sudo | -rwsr-xr-x (4755) root:root  /usr/bin/chage | -rwsr-xr-x (4755) root:root  /usr/bin/gpasswd | -rwsr-xr-x (4755) root:root  /usr/bin/newgrp | -rwsr-xr-x (4755) root:root  /usr/bin/su | -rwsr-xr-x (4755) root:root  /usr/bin/mount | -rwsr-xr-x (4755) root:root  /usr/bin/umount | ---s--x--- (4110) root:stapusr  /usr/bin/staprun | -rwsr-xr-x (4755) root:root  /usr/bin/passwd | -rwsr-xr-x (4755) root:root  /usr/sbin/grub2-set-bootflag | -rwsr-xr-x (4755) root:root  /usr/sbin/pam_timestamp_check | -rwsr-xr-x (4755) root:root  /usr/sbin/unix_chkpwd | -rwsr-xr-x (4755) root:root  /usr/sbin/mount.nfs | # SGID (find / -type f -perm -2000) — 4개 | -rwxr-sr-x (2755) root:tty  /usr/bin/write | -rwxr-sr-x (2755) root:screen  /usr/bin/screen | -rwx--s--x (2711) root:utmp  /usr/libexec/utempter/utempter | -r-xr-sr-x (2555) root:ssh_keys  /usr/libexec/openssh/ssh-keysign","Linux(amzn)","10.0.9.57","상","find / -perm -4000 | -2000"
"U-24","파일 및 디렉토리 관리","사용자/시스템 환경변수 파일 소유자 및 권한 설정","양호 : 홈 디렉터리 환경변수 파일 소유자가 root 또는 해당 계정으로 지정되어 있고, 홈 디렉터리 환경변수 파일에 root 계정과 소유자만 쓰기 권한이 부여된 경우 | 취약 : 홈 디렉터리 환경변수 파일 소유자가 root 또는 해당 계정으로 지정되지 않거나, 홈 디렉터리 환경변수 파일에 root 계정과 소유자 외에 쓰기 권한이 부여된 경우","양호","# root (/root) | -rw-r--r-- (644) root:root  /root/.bashrc | -rw-r--r-- (644) root:root  /root/.bash_profile | -rw-r--r-- (644) root:root  /root/.cshrc | # ec2-user (/home/ec2-user) | -rw-r--r-- (644) ec2-user:ec2-user  /home/ec2-user/.bashrc | -rw-r--r-- (644) ec2-user:ec2-user  /home/ec2-user/.bash_profile","Linux(amzn)","10.0.9.57","상","로그인 계정 홈 환경변수 파일"
"U-25","파일 및 디렉토리 관리","world writable 파일 점검","양호 : world writable 파일이 존재하지 않거나, 존재 시 설정 이유를 인지하고 있는 경우 | 취약 : world writable 파일이 존재하나 설정 이유를 인지하지 못하고 있는 경우","양호","# find / -type f -perm -0002 (world-writable, 의사FS 제외) — 0개 | (없음)","Linux(amzn)","10.0.9.57","상","/ (proc·sys·dev·run 제외)"
"U-26","파일 및 디렉토리 관리","/dev에 존재하지 않는 device 파일 점검","양호 : /dev 디렉터리에 대한 파일 점검 후 존재하지 않는 device 파일을 제거한 경우 | 취약 : /dev 디렉터리에 대한 파일 미점검 또는 존재하지 않는 device 파일을 방치한 경우","양호","/dev 내 일반 파일(device 아님): 없음","Linux(amzn)","10.0.9.57","상","/dev"
"U-27","파일 및 디렉토리 관리","$HOME/.rhosts, hosts.equiv 사용 금지","양호 : rlogin, rsh, rexec 서비스를 사용하지 않거나, 사용 시 아래와 같은 설정이 적용된 경우 | 취약 : rlogin, rsh, rexec 서비스를 사용하며 아래와 같은 설정이 적용되지 않은 경우","양호","/etc/hosts.equiv 및 모든 사용자 $HOME/.rhosts 파일 없음 — r 계열 미사용","Linux(amzn)","10.0.9.57","상","$HOME/.rhosts /etc/hosts.equiv"
"U-28","파일 및 디렉토리 관리","접속 IP 및 포트 제한","양호 : 접속을 허용할 특정 호스트에 대한 IP주소 및 포트 제한을 설정한 경우 | 취약 : 접속을 허용할 특정 호스트에 대한 IP주소 및 포트 제한을 설정하지 않은 경우","취약","hosts.allow 규칙 0개 / hosts.deny 규칙 0개 (기본차단 ALL:ALL 0개) | 방화벽: 비활성 (AWS 보안그룹은 별도)","Linux(amzn)","10.0.9.57","상","hosts.allow/deny | firewall"
"U-29","파일 및 디렉토리 관리","hosts.lpd 파일 소유자 및 권한 설정","양호 : /etc/hosts.lpd 파일이 존재하지 않거나, 불가피하게 사용 시 /etc/hosts.lpd 파일의 소유자가 root이고, 권한이 600 이하인 경우 | 취약 : /etc/hosts.lpd 파일이 존재하며, 파일의 소유자가 root가 아니거나, 권한이 600 이하가 아닌 경우","양호","hosts.lpd 파일 없음","Linux(amzn)","10.0.9.57","하","/etc/hosts.lpd"
"U-30","파일 및 디렉토리 관리","UMASK 설정 관리","양호 : UMASK 값이 022 이상으로 설정된 경우 | 취약 : UMASK 값이 022 미만으로 설정된 경우","양호","/etc/profile:umask 022 | /etc/login.defs:UMASK 022 | /etc/bashrc: umask 002 | /etc/bashrc: umask 022 | /etc/pam.d/postlogin:session optional pam_umask.so silent | ※ 022 미만 umask 는 UPG(사설그룹·uid==gid명) 조건부 → 안전","Linux(amzn)","10.0.9.57","중","/etc/profile | login.defs | /etc/pam.d"
"U-31","파일 및 디렉토리 관리","홈 디렉터리 소유자 및 권한 설정","양호 : 홈 디렉토리 소유자가 해당 계정이고, 타 사용자 쓰기 권한이 제거된 경우 | 취약 : 홈 디렉토리 소유자가 해당 계정이 아니거나, 타 사용자 쓰기 권한이 부여된 경우","양호","drwx------ (700) ec2-user:ec2-user  /home/ec2-user  [계정:ec2-user]","Linux(amzn)","10.0.9.57","중","사용자 홈 디렉터리"
"U-32","파일 및 디렉토리 관리","홈 디렉터리로 지정한 디렉터리의 존재 관리","양호 : 홈 디렉토리가 존재하지 않는 계정이 발견되지 않는 경우 | 취약 : 홈 디렉토리가 존재하지 않는 계정이 발견된 경우","양호","ec2-user: /home/ec2-user (존재)","Linux(amzn)","10.0.9.57","중","/etc/passwd"
"U-33","파일 및 디렉토리 관리","숨겨진 파일 및 디렉터리 검색 및 제거","양호 : 불필요하거나 의심스러운 숨겨진 파일 및 디렉토리를 제거한 경우 | 취약 : 불필요하거나 의심스러운 숨겨진 파일 및 디렉토리를 제거하지 않은 경우","N/A","-rw-r--r-- (644) root:root  /boot/.vmlinuz-6.1.170-213.321.amzn2023.x86_64.hmac | -rw-r--r-- (644) root:root  /etc/skel/.bash_logout | -rw-r--r-- (644) root:root  /etc/skel/.bash_profile | -rw-r--r-- (644) root:root  /etc/skel/.bashrc | -rw-r--r-- (644) root:root  /etc/selinux/targeted/.policy.sha512 | -rw-r--r-- (644) root:root  /etc/.updated | -rw------- (600) root:root  /etc/.pwd.lock | drwxrwxrwt (1777) root:root  /tmp/.font-unix | drwxrwxrwt (1777) root:root  /tmp/.XIM-unix | drwxrwxrwt (1777) root:root  /tmp/.ICE-unix | drwxrwxrwt (1777) root:root  /tmp/.X11-unix | -rw-r--r-- (644) root:root  /var/cache/dnf/.gpgkeyschecked.yum | -rw-r--r-- (644) root:root  /var/lib/rpm/.rpm.lock | -rw------- (600) root:root  /var/spool/at/.SEQ | -rw-r--r-- (644) root:root  /var/.updated | drwxr-xr-x (755) root:root  /usr/lib/debug/usr/.dwz | drwxr-xr-x (755) root:root  /usr/lib/debug/.dwz | drwxr-xr-x (755) root:root  /usr/lib/.build-id | -rw-r--r-- (644) root:root  /usr/lib/modules/6.1.170-213.321.amzn2023.x86_64/.vmlinuz.hmac | drwxr-xr-x (755) root:root  /usr/lib/modules/6.1.170-213.321.amzn2023.x86_64/vdso/.build-id | drwxr-xr-x (755) root:root  /usr/lib/python3.9/site-packages/awscli/botocore/.changes | -rw-r--r-- (644) root:root  /usr/lib64/.libgmp.so.10.4.1.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libgmp.so.10.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libhogweed.so.6.10.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libhogweed.so.6.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libnettle.so.8.10.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libnettle.so.8.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libgnutls.so.30.37.1.hmac | -rw-r--r-- (644) root:root  /usr/lib64/.libgnutls.so.30.hmac | -rw-r--r-- (644) root:root  /usr/share/vim/vim92/pack/dist/opt/editorconfig/.editorconfig | -rw-r--r-- (644) root:root  /usr/share/man/man1/..1.gz | -rw-r--r-- (644) root:root  /usr/share/man/man5/.k5identity.5.gz | -rw-r--r-- (644) root:root  /usr/share/man/man5/.k5login.5.gz | -rw-r--r-- (644) ec2-user:ec2-user  /home/ec2-user/.bash_logout | -rw-r--r-- (644) ec2-user:ec2-user  /home/ec2-user/.bash_profile | -rw-r--r-- (644) ec2-user:ec2-user  /home/ec2-user/.bashrc | drwx------ (700) ec2-user:ec2-user  /home/ec2-user/.ssh | -rw------- (600) ec2-user:ec2-user  /home/ec2-user/.bash_history | drwxr-xr-x (755) ec2-user:ec2-user  /home/ec2-user/.vim | -rw-r--r-- (644) ec2-user:ec2-user  /home/ec2-user/.vim/.netrwhist | -rw------- (600) ec2-user:ec2-user  /home/ec2-user/.lesshst | -rw------- (600) ec2-user:ec2-user  /home/ec2-user/.viminfo | drwx------ (700) root:root  /root/.ssh | -rw-r--r-- (644) root:root  /root/.bash_logout | -rw-r--r-- (644) root:root  /root/.bash_profile | -rw-r--r-- (644) root:root  /root/.bashrc | -rw-r--r-- (644) root:root  /root/.cshrc | -rw-r--r-- (644) root:root  /root/.tcshrc | drwxr-xr-x (755) root:root  /root/.vim | -rw-r--r-- (644) root:root  /root/.vim/.netrwhist | -rw------- (600) root:root  /root/.bash_history | -rw------- (600) root:root  /root/.viminfo","Linux(amzn)","10.0.9.57","하","find / (의사FS 제외)"
"U-34","서비스 관리","Finger 서비스 비활성화","양호 : Finger 서비스가 비활성화된 경우 | 취약 : Finger 서비스가 활성화된 경우","양호","대상 서비스(finger fingerd) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-35","서비스 관리","Anonymous FTP 비활성화","양호 : 공유 서비스에 대해 익명 접근을 제한한 경우 | 취약 : 공유 서비스에 대해 익명 접근을 허용한 경우","양호","대상 서비스(vsftpd proftpd pure-ftpd) 구동: 비활성","Linux(amzn)","10.0.9.57","상","ftp"
"U-36","서비스 관리","r 계열 서비스 비활성화","양호 : 불필요한 r 계열 서비스가 비활성화된 경우 | 취약 : 불필요한 r 계열 서비스가 활성화된 경우","양호","대상 서비스(rsh rlogin rexec in.rshd in.rlogind in.rexecd rsh.socket rlogin.socket) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-37","서비스 관리","cron 파일 소유자 및 권한 설정","양호 : crontab 및 at 명령어에 일반 사용자 실행 권한이 제거되어 있으며, cron 및 at 관련 파일 권한이 640 이하인 경우 | 취약 : crontab 및 at 명령어에 일반 사용자 실행 권한이 부여되어 있으며, cron 및 at 관련 파일 권한이 640 이상인 경우","양호","-rw-r----- (640) root:root  /etc/crontab | -rw-r----- (640) root:root  /etc/at.deny","Linux(amzn)","10.0.9.57","상","/etc/crontab /etc/cron.* /etc/cron.d"
"U-38","서비스 관리","DoS 공격에 취약한 서비스 비활성화","양호 : DoS 공격에 취약한 서비스가 비활성화된 경우 | 취약 : DoS 공격에 취약한 서비스가 활성화된 경우","양호","대상 서비스(echo discard daytime chargen) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-39","서비스 관리","불필요한 NFS 서비스 비활성화","양호 : 불필요한 NFS 서비스 관련 데몬이 비활성화된 경우 | 취약 : 불필요한 NFS 서비스 관련 데몬이 활성화된 경우","양호","대상 서비스(nfs-server nfs rpcbind) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-40","서비스 관리","NFS 접근 통제","양호 : 접근 통제가 설정되어 있으며 NFS 설정 파일 접근 권한이 644 이하인 경우 | 취약 : 접근 통제가 설정되어 있지 않고 NFS 설정 파일 접근 권한이 644를 초과하는 경우","양호","대상 서비스(nfs-server nfs) 구동: 비활성 | exports: (없음/비어있음)","Linux(amzn)","10.0.9.57","상","nfs-server | /etc/exports"
"U-41","서비스 관리","불필요한 automountd 제거","양호 : automountd 서비스가 비활성화된 경우 | 취약 : automountd 서비스가 활성화된 경우","양호","대상 서비스(autofs automountd) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-42","서비스 관리","불필요한 RPC 서비스 비활성화","양호 : 불필요한 RPC 서비스가 비활성화된 경우 | 취약 : 불필요한 RPC 서비스가 활성화된 경우","양호","대상 서비스(rpcbind rpc.cmsd rpc.ttdbserverd rusersd sprayd walld) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-43","서비스 관리","NIS, NIS+ 점검","양호 : NIS 서비스가 비활성화되어 있거나, 불가피하게 사용 시 NIS+ 서비스를 사용하는 경우 | 취약 : NIS 서비스가 활성화된 경우","양호","대상 서비스(ypserv ypbind nis) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-44","서비스 관리","tftp, talk 서비스 비활성화","양호 : tftp, talk, ntalk 서비스가 비활성화된 경우 | 취약 : tftp, talk, ntalk 서비스가 활성화된 경우","양호","대상 서비스(tftp talk ntalk tftp.socket) 구동: 비활성","Linux(amzn)","10.0.9.57","상","systemd/process"
"U-45","서비스 관리","메일 서비스 버전 점검","양호 : 메일 서비스 버전이 최신 버전인 경우 | 취약 : 메일 서비스 버전이 최신 버전이 아닌 경우","N/A","대상 서비스(postfix sendmail) 구동: 비활성","Linux(amzn)","10.0.9.57","상","postfix/sendmail (메일 서비스)"
"U-46","서비스 관리","일반 사용자의 메일 서비스 실행 방지","양호 : 일반 사용자의 메일 서비스 실행 방지가 설정된 경우 | 취약 : 일반 사용자의 메일 서비스 실행 방지가 설정되어 있지 않은 경우","양호","대상 서비스(postfix sendmail) 구동: 비활성","Linux(amzn)","10.0.9.57","중","mail"
